mapping_id,database_version,source_schema,source_table,itemid,source_label,clinical_variable,analysis_role,decision,rationale,reviewer,reviewed_on,evidence_reference,notes
EN_ZF_226040,MIMIC-IV 3.1,mimiciv_icu,inputevents,226040,ProBalance (1/4),qualifying_en,exposure,include,Concentration fraction of an active tube-feeding formula family. Zero MIMIC-IV 3.1 inputevents; product not retired. Grok+hy4 majority; author-confirmed 2026-08-30.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; docs/mapping_review.md; reviews/hy4-vote-mapping-dissent-20260830.md; reviews/human-confirmation-20260830-mapping-dissent.json,family=ProBalance; n_rows=0
EN_ZF_226041,MIMIC-IV 3.1,mimiciv_icu,inputevents,226041,ProBalance (2/3),qualifying_en,exposure,include,Concentration fraction of an active tube-feeding formula family. Zero MIMIC-IV 3.1 inputevents; product not retired. Grok+hy4 majority; author-confirmed 2026-08-30.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; docs/mapping_review.md; reviews/hy4-vote-mapping-dissent-20260830.md; reviews/human-confirmation-20260830-mapping-dissent.json,family=ProBalance; n_rows=0
EN_ZF_226042,MIMIC-IV 3.1,mimiciv_icu,inputevents,226042,ProBalance (3/4),qualifying_en,exposure,include,Concentration fraction of an active tube-feeding formula family. Zero MIMIC-IV 3.1 inputevents; product not retired. Grok+hy4 majority; author-confirmed 2026-08-30.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; docs/mapping_review.md; reviews/hy4-vote-mapping-dissent-20260830.md; reviews/human-confirmation-20260830-mapping-dissent.json,family=ProBalance; n_rows=0
EN_ZF_228362,MIMIC-IV 3.1,mimiciv_icu,inputevents,228362,Pulmocare (3/4),qualifying_en,exposure,include,Concentration fraction of an active tube-feeding formula family. Zero MIMIC-IV 3.1 inputevents; product not retired. Grok+hy4 majority; author-confirmed 2026-08-30.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; docs/mapping_review.md; reviews/hy4-vote-mapping-dissent-20260830.md; reviews/human-confirmation-20260830-mapping-dissent.json,family=Pulmocare; n_rows=0
EN_ZF_228365,MIMIC-IV 3.1,mimiciv_icu,inputevents,228365,Two Cal HN (1/4),qualifying_en,exposure,include,Concentration fraction of an active tube-feeding formula family. Zero MIMIC-IV 3.1 inputevents; product not retired. Grok+hy4 majority; author-confirmed 2026-08-30.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; docs/mapping_review.md; reviews/hy4-vote-mapping-dissent-20260830.md; reviews/human-confirmation-20260830-mapping-dissent.json,family=Two Cal HN; n_rows=0
EN_ZF_228366,MIMIC-IV 3.1,mimiciv_icu,inputevents,228366,Two Cal HN (3/4),qualifying_en,exposure,include,Concentration fraction of an active tube-feeding formula family. Zero MIMIC-IV 3.1 inputevents; product not retired. Grok+hy4 majority; author-confirmed 2026-08-30.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; docs/mapping_review.md; reviews/hy4-vote-mapping-dissent-20260830.md; reviews/human-confirmation-20260830-mapping-dissent.json,family=Two Cal HN; n_rows=0
EN_ZF_226056,MIMIC-IV 3.1,mimiciv_icu,inputevents,226056,Vivonex (1/4),qualifying_en,exposure,include,Concentration fraction of an active tube-feeding formula family. Zero MIMIC-IV 3.1 inputevents; product not retired. Grok+hy4 majority; author-confirmed 2026-08-30.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; docs/mapping_review.md; reviews/hy4-vote-mapping-dissent-20260830.md; reviews/human-confirmation-20260830-mapping-dissent.json,family=Vivonex; n_rows=0
EN_ZF_226057,MIMIC-IV 3.1,mimiciv_icu,inputevents,226057,Vivonex (2/3),qualifying_en,exposure,include,Concentration fraction of an active tube-feeding formula family. Zero MIMIC-IV 3.1 inputevents; product not retired. Grok+hy4 majority; author-confirmed 2026-08-30.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; docs/mapping_review.md; reviews/hy4-vote-mapping-dissent-20260830.md; reviews/human-confirmation-20260830-mapping-dissent.json,family=Vivonex; n_rows=0
EN_PR_229501,MIMIC-IV 3.1,mimiciv_icu,procedureevents,229501,Small Bore Nasal Enteral Tube Placement,qualifying_en,exposure,exclude,"Tube-placement procedure, not delivered EN. Codex+hy4 agree; author-confirmed 2026-08-30 confirmation-02.",authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; reviews/dual-model-ballot-20260830.md; reviews/dual-model-vote-20260830.md; reviews/human-confirmation-20260830-mapping-agreements.json,ballot=B08; bucket=exclude_procedure; family=Small Bore Nasal Enteral Tube Placement; n_rows=0
EN_RU_221038,MIMIC-IV 3.1,mimiciv_icu,inputevents,221038,Jevity,qualifying_en,exposure,exclude,Retired unused dictionary row with zero 3.1 inputevents. Codex+hy4 agree; author-confirmed 2026-08-30 confirmation-02.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; reviews/dual-model-ballot-20260830.md; reviews/dual-model-vote-20260830.md; reviews/human-confirmation-20260830-mapping-agreements.json,ballot=B04; bucket=exclude_retired_unused; family=Jevity; n_rows=0
EN_RU_221037,MIMIC-IV 3.1,mimiciv_icu,inputevents,221037,Jevity 1.2,qualifying_en,exposure,exclude,Retired unused dictionary row with zero 3.1 inputevents. Codex+hy4 agree; author-confirmed 2026-08-30 confirmation-02.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; reviews/dual-model-ballot-20260830.md; reviews/dual-model-vote-20260830.md; reviews/human-confirmation-20260830-mapping-agreements.json,ballot=B04; bucket=exclude_retired_unused; family=Jevity 1.2; n_rows=0
EN_RU_221029,MIMIC-IV 3.1,mimiciv_icu,inputevents,221029,Osmolite,qualifying_en,exposure,exclude,Retired unused dictionary row with zero 3.1 inputevents. Codex+hy4 agree; author-confirmed 2026-08-30 confirmation-02.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; reviews/dual-model-ballot-20260830.md; reviews/dual-model-vote-20260830.md; reviews/human-confirmation-20260830-mapping-agreements.json,ballot=B04; bucket=exclude_retired_unused; family=Osmolite; n_rows=0
EN_IN_226221,MIMIC-IV 3.1,mimiciv_icu,ingredientevents,226221,Enteral Nutrition Ingredient,qualifying_en,exposure,exclude,"Ingredient component, not a delivered EN event. Codex+hy4 agree; author-confirmed 2026-08-30 confirmation-02.",authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; reviews/dual-model-ballot-20260830.md; reviews/dual-model-vote-20260830.md; reviews/human-confirmation-20260830-mapping-agreements.json,ballot=B07; bucket=exclude_ingredient; family=Enteral Nutrition Ingredient; n_rows=0
EN_IN_227079,MIMIC-IV 3.1,mimiciv_icu,ingredientevents,227079,Parenteral Nutrition Ingredient,qualifying_en,exposure,exclude,"Ingredient component, not a delivered EN event. Codex+hy4 agree; author-confirmed 2026-08-30 confirmation-02.",authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; reviews/dual-model-ballot-20260830.md; reviews/dual-model-vote-20260830.md; reviews/human-confirmation-20260830-mapping-agreements.json,ballot=B07; bucket=exclude_ingredient; family=Parenteral Nutrition Ingredient; n_rows=0
EN_RS_226226,MIMIC-IV 3.1,mimiciv_icu,chartevents,226226,Enteral Nutriton Residuals,qualifying_en,exposure,exclude,"Gastric residual, not EN initiation. Codex+hy4 agree; author-confirmed 2026-08-30 confirmation-02.",authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; reviews/dual-model-ballot-20260830.md; reviews/dual-model-vote-20260830.md; reviews/human-confirmation-20260830-mapping-agreements.json,ballot=B09; bucket=exclude_residual; family=Enteral Nutriton Residuals; n_rows=0
EN_TF_227698,MIMIC-IV 3.1,mimiciv_icu,inputevents,227698,Fibersource HN (1/2),qualifying_en,exposure,include,Commercial tube-feeding formula with MIMIC-IV 3.1 inputevents. Codex+hy4 agree; author-confirmed 2026-08-30 confirmation-02.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; reviews/dual-model-ballot-20260830.md; reviews/dual-model-vote-20260830.md; reviews/human-confirmation-20260830-mapping-agreements.json,ballot=B01; bucket=include_tube_formula; family=Fibersource HN; n_rows=42
EN_TF_227699,MIMIC-IV 3.1,mimiciv_icu,inputevents,227699,Fibersource HN (1/4),qualifying_en,exposure,include,Commercial tube-feeding formula with MIMIC-IV 3.1 inputevents. Codex+hy4 agree; author-confirmed 2026-08-30 confirmation-02.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; reviews/dual-model-ballot-20260830.md; reviews/dual-model-vote-20260830.md; reviews/human-confirmation-20260830-mapping-agreements.json,ballot=B01; bucket=include_tube_formula; family=Fibersource HN; n_rows=26
EN_TF_227696,MIMIC-IV 3.1,mimiciv_icu,inputevents,227696,Fibersource HN (3/4),qualifying_en,exposure,include,Commercial tube-feeding formula with MIMIC-IV 3.1 inputevents. Codex+hy4 agree; author-confirmed 2026-08-30 confirmation-02.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; reviews/dual-model-ballot-20260830.md; reviews/dual-model-vote-20260830.md; reviews/human-confirmation-20260830-mapping-agreements.json,ballot=B01; bucket=include_tube_formula; family=Fibersource HN; n_rows=50
EN_TF_227695,MIMIC-IV 3.1,mimiciv_icu,inputevents,227695,Fibersource HN (Full),qualifying_en,exposure,include,Commercial tube-feeding formula with MIMIC-IV 3.1 inputevents. Codex+hy4 agree; author-confirmed 2026-08-30 confirmation-02.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; reviews/dual-model-ballot-20260830.md; reviews/dual-model-vote-20260830.md; reviews/human-confirmation-20260830-mapping-agreements.json,ballot=B01; bucket=include_tube_formula; family=Fibersource HN; n_rows=6138
EN_TF_229013,MIMIC-IV 3.1,mimiciv_icu,inputevents,229013,Glucerna 1.2 (Full),qualifying_en,exposure,include,Commercial tube-feeding formula with MIMIC-IV 3.1 inputevents. Codex+hy4 agree; author-confirmed 2026-08-30 confirmation-02.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; reviews/dual-model-ballot-20260830.md; reviews/dual-model-vote-20260830.md; reviews/human-confirmation-20260830-mapping-agreements.json,ballot=B01; bucket=include_tube_formula; family=Glucerna 1.2; n_rows=13963
EN_TF_229295,MIMIC-IV 3.1,mimiciv_icu,inputevents,229295,Glucerna 1.5 (Full),qualifying_en,exposure,include,Commercial tube-feeding formula with MIMIC-IV 3.1 inputevents. Codex+hy4 agree; author-confirmed 2026-08-30 confirmation-02.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; reviews/dual-model-ballot-20260830.md; reviews/dual-model-vote-20260830.md; reviews/human-confirmation-20260830-mapping-agreements.json,ballot=B01; bucket=include_tube_formula; family=Glucerna 1.5; n_rows=13875
EN_TF_226023,MIMIC-IV 3.1,mimiciv_icu,inputevents,226023,Impact (1/2),qualifying_en,exposure,include,Commercial tube-feeding formula with MIMIC-IV 3.1 inputevents. Codex+hy4 agree; author-confirmed 2026-08-30 confirmation-02.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; reviews/dual-model-ballot-20260830.md; reviews/dual-model-vote-20260830.md; reviews/human-confirmation-20260830-mapping-agreements.json,ballot=B01; bucket=include_tube_formula; family=Impact; n_rows=31
EN_TF_226020,MIMIC-IV 3.1,mimiciv_icu,inputevents,226020,Impact (1/4),qualifying_en,exposure,include,Commercial tube-feeding formula with MIMIC-IV 3.1 inputevents. Codex+hy4 agree; author-confirmed 2026-08-30 confirmation-02.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; reviews/dual-model-ballot-20260830.md; reviews/dual-model-vote-20260830.md; reviews/human-confirmation-20260830-mapping-agreements.json,ballot=B01; bucket=include_tube_formula; family=Impact; n_rows=10
EN_TF_226022,MIMIC-IV 3.1,mimiciv_icu,inputevents,226022,Impact (3/4),qualifying_en,exposure,include,Commercial tube-feeding formula with MIMIC-IV 3.1 inputevents. Codex+hy4 agree; author-confirmed 2026-08-30 confirmation-02.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; reviews/dual-model-ballot-20260830.md; reviews/dual-model-vote-20260830.md; reviews/human-confirmation-20260830-mapping-agreements.json,ballot=B01; bucket=include_tube_formula; family=Impact; n_rows=44
EN_TF_221207,MIMIC-IV 3.1,mimiciv_icu,inputevents,221207,Impact (Full),qualifying_en,exposure,include,Commercial tube-feeding formula with MIMIC-IV 3.1 inputevents. Codex+hy4 agree; author-confirmed 2026-08-30 confirmation-02.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; reviews/dual-model-ballot-20260830.md; reviews/dual-model-vote-20260830.md; reviews/human-confirmation-20260830-mapping-agreements.json,ballot=B01; bucket=include_tube_formula; family=Impact; n_rows=175
EN_TF_226027,MIMIC-IV 3.1,mimiciv_icu,inputevents,226027,Impact with Fiber (1/2),qualifying_en,exposure,include,Commercial tube-feeding formula with MIMIC-IV 3.1 inputevents. Codex+hy4 agree; author-confirmed 2026-08-30 confirmation-02.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; reviews/dual-model-ballot-20260830.md; reviews/dual-model-vote-20260830.md; reviews/human-confirmation-20260830-mapping-agreements.json,ballot=B01; bucket=include_tube_formula; family=Impact with Fiber; n_rows=8
EN_TF_226024,MIMIC-IV 3.1,mimiciv_icu,inputevents,226024,Impact with Fiber (1/4),qualifying_en,exposure,include,Commercial tube-feeding formula with MIMIC-IV 3.1 inputevents. Codex+hy4 agree; author-confirmed 2026-08-30 confirmation-02.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; reviews/dual-model-ballot-20260830.md; reviews/dual-model-vote-20260830.md; reviews/human-confirmation-20260830-mapping-agreements.json,ballot=B01; bucket=include_tube_formula; family=Impact with Fiber; n_rows=3
EN_TF_226026,MIMIC-IV 3.1,mimiciv_icu,inputevents,226026,Impact with Fiber (3/4),qualifying_en,exposure,include,Commercial tube-feeding formula with MIMIC-IV 3.1 inputevents. Codex+hy4 agree; author-confirmed 2026-08-30 confirmation-02.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; reviews/dual-model-ballot-20260830.md; reviews/dual-model-vote-20260830.md; reviews/human-confirmation-20260830-mapping-agreements.json,ballot=B01; bucket=include_tube_formula; family=Impact with Fiber; n_rows=29
EN_TF_225928,MIMIC-IV 3.1,mimiciv_icu,inputevents,225928,Impact with Fiber (Full),qualifying_en,exposure,include,Commercial tube-feeding formula with MIMIC-IV 3.1 inputevents. Codex+hy4 agree; author-confirmed 2026-08-30 confirmation-02.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; reviews/dual-model-ballot-20260830.md; reviews/dual-model-vote-20260830.md; reviews/human-confirmation-20260830-mapping-agreements.json,ballot=B01; bucket=include_tube_formula; family=Impact with Fiber; n_rows=592
EN_TF_228131,MIMIC-IV 3.1,mimiciv_icu,inputevents,228131,Isosource 1.5 (1/2),qualifying_en,exposure,include,Commercial tube-feeding formula with MIMIC-IV 3.1 inputevents. Codex+hy4 agree; author-confirmed 2026-08-30 confirmation-02.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; reviews/dual-model-ballot-20260830.md; reviews/dual-model-vote-20260830.md; reviews/human-confirmation-20260830-mapping-agreements.json,ballot=B01; bucket=include_tube_formula; family=Isosource 1.5; n_rows=64
EN_TF_228132,MIMIC-IV 3.1,mimiciv_icu,inputevents,228132,Isosource 1.5 (1/4),qualifying_en,exposure,include,Commercial tube-feeding formula with MIMIC-IV 3.1 inputevents. Codex+hy4 agree; author-confirmed 2026-08-30 confirmation-02.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; reviews/dual-model-ballot-20260830.md; reviews/dual-model-vote-20260830.md; reviews/human-confirmation-20260830-mapping-agreements.json,ballot=B01; bucket=include_tube_formula; family=Isosource 1.5; n_rows=8
EN_TF_228133,MIMIC-IV 3.1,mimiciv_icu,inputevents,228133,Isosource 1.5 (2/3),qualifying_en,exposure,include,Commercial tube-feeding formula with MIMIC-IV 3.1 inputevents. Codex+hy4 agree; author-confirmed 2026-08-30 confirmation-02.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; reviews/dual-model-ballot-20260830.md; reviews/dual-model-vote-20260830.md; reviews/human-confirmation-20260830-mapping-agreements.json,ballot=B01; bucket=include_tube_formula; family=Isosource 1.5; n_rows=2
EN_TF_228134,MIMIC-IV 3.1,mimiciv_icu,inputevents,228134,Isosource 1.5 (3/4),qualifying_en,exposure,include,Commercial tube-feeding formula with MIMIC-IV 3.1 inputevents. Codex+hy4 agree; author-confirmed 2026-08-30 confirmation-02.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; reviews/dual-model-ballot-20260830.md; reviews/dual-model-vote-20260830.md; reviews/human-confirmation-20260830-mapping-agreements.json,ballot=B01; bucket=include_tube_formula; family=Isosource 1.5; n_rows=20
EN_TF_228135,MIMIC-IV 3.1,mimiciv_icu,inputevents,228135,Isosource 1.5 (Full),qualifying_en,exposure,include,Commercial tube-feeding formula with MIMIC-IV 3.1 inputevents. Codex+hy4 agree; author-confirmed 2026-08-30 confirmation-02.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; reviews/dual-model-ballot-20260830.md; reviews/dual-model-vote-20260830.md; reviews/human-confirmation-20260830-mapping-agreements.json,ballot=B01; bucket=include_tube_formula; family=Isosource 1.5; n_rows=6088
EN_TF_229010,MIMIC-IV 3.1,mimiciv_icu,inputevents,229010,Jevity 1.2 (Full),qualifying_en,exposure,include,Commercial tube-feeding formula with MIMIC-IV 3.1 inputevents. Codex+hy4 agree; author-confirmed 2026-08-30 confirmation-02.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; reviews/dual-model-ballot-20260830.md; reviews/dual-model-vote-20260830.md; reviews/human-confirmation-20260830-mapping-agreements.json,ballot=B01; bucket=include_tube_formula; family=Jevity 1.2; n_rows=13219
EN_TF_229011,MIMIC-IV 3.1,mimiciv_icu,inputevents,229011,Jevity 1.5 (Full),qualifying_en,exposure,include,Commercial tube-feeding formula with MIMIC-IV 3.1 inputevents. Codex+hy4 agree; author-confirmed 2026-08-30 confirmation-02.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; reviews/dual-model-ballot-20260830.md; reviews/dual-model-vote-20260830.md; reviews/human-confirmation-20260830-mapping-agreements.json,ballot=B01; bucket=include_tube_formula; family=Jevity 1.5; n_rows=14831
EN_TF_228348,MIMIC-IV 3.1,mimiciv_icu,inputevents,228348,Nepro (1/2),qualifying_en,exposure,include,Commercial tube-feeding formula with MIMIC-IV 3.1 inputevents. Codex+hy4 agree; author-confirmed 2026-08-30 confirmation-02.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; reviews/dual-model-ballot-20260830.md; reviews/dual-model-vote-20260830.md; reviews/human-confirmation-20260830-mapping-agreements.json,ballot=B01; bucket=include_tube_formula; family=Nepro; n_rows=12
EN_TF_228351,MIMIC-IV 3.1,mimiciv_icu,inputevents,228351,Nepro (Full),qualifying_en,exposure,include,Commercial tube-feeding formula with MIMIC-IV 3.1 inputevents. Codex+hy4 agree; author-confirmed 2026-08-30 confirmation-02.,authors,2026-08-30,workspace/metered-results/candidate_itemids.txt; reviews/dual-model-ballot-20260830.md; reviews/dual-model-vote-20260830.md; reviews/human-confirmation-20260830-mapping-agreements.json,ballot=B01; bucket=include_tube_formula; family=Nepro; n_rows=23090
